"response","fixed1","fixed2","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic","fixed1.coef","fixed2.coef","int.coef"
"ANPP_foliage","SolarRadiation","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.874e-06,99,0.3831,0.8203,0.1019,0,0.0059,NA
"ANPP_woody_stem","SolarRadiation","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.277e-06,263,0.1916,0.8438,2.493,0,0.0286,0
"ANPP","SolarRadiation","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.067e-08,259,0.2153,0.8547,2.073,0,0,NA
"ANPP_foliage","SolarRadiation","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,6.28e-06,99,0.3388,0.7816,2.344,0,0,NA
"ANPP_woody_stem","SolarRadiation","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,8.666e-07,263,0.1561,0.8224,1.086,0,0,NA
"ANPP","SolarRadiation","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.027e-10,259,0.2794,0.851,10.29,0,0.0096,0
"ANPP_foliage","SolarRadiation","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.948e-07,99,0.3474,0.8102,0.7102,0,0.0026,NA
"ANPP_woody_stem","SolarRadiation","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.003e-06,263,0.1671,0.8343,3.949,0,0.0042,0
"ANPP","SolarRadiation","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.612e-10,259,0.2692,0.841,11.62,0,18.6362,0
"ANPP_foliage","SolarRadiation","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.251e-07,99,0.3659,0.7845,1.68,0,2.245,NA
"ANPP_woody_stem","SolarRadiation","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.412e-06,263,0.1731,0.8281,1.469,0,5.7668,0
"ANPP","Aridity","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.17e-16,202,0.4589,0.8493,5.439,-1e-04,0.1173,0
"ANPP_foliage","Aridity","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,5.907e-11,69,0.6318,0.8151,2.468,0,0.1003,NA
"ANPP_woody_stem","Aridity","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.482e-10,232,0.2343,0.8904,8.64,0,0.0323,0
"ANPP","Aridity","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.0007554,204,0.1005,0.8438,1.138,0,0,NA
"ANPP_foliage","Aridity","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.04245,75,0.1222,0.7361,0.324,0,1e-04,NA
"ANPP_woody_stem","Aridity","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,6.656e-06,234,0.1393,0.896,5.563,0,-2e-04,0
"ANPP","Aridity","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,8.845e-16,259,0.4049,0.8387,1.022,0,-0.0392,NA
"ANPP_foliage","Aridity","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.605e-11,99,0.5576,0.8195,2.145,0,-0.0203,NA
"ANPP_woody_stem","Aridity","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.693e-08,263,0.2045,0.8233,1.75,0,-0.0133,NA
"ANPP","Aridity","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,7.093e-06,259,0.1819,0.8578,2.125,0,0.0155,NA
"ANPP_foliage","Aridity","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.0009603,99,0.2233,0.8038,2.284,0,0.0067,NA
"ANPP_woody_stem","Aridity","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,5.276e-05,263,0.1126,0.8216,2.102,0,2e-04,NA
"ANPP","Aridity","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.067e-08,259,0.2153,0.8547,2.073,0,0,NA
"ANPP_foliage","Aridity","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,6.28e-06,99,0.3388,0.7816,2.344,0,0,NA
"ANPP_woody_stem","Aridity","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,8.666e-07,263,0.1561,0.8224,1.086,0,0,NA
"ANPP","Aridity","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.933e-07,259,0.1748,0.8321,2.124,0,0.0025,NA
"ANPP_foliage","Aridity","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.862e-08,99,0.4263,0.7777,1.374,0,0.002,NA
"ANPP_woody_stem","Aridity","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.707e-07,263,0.224,0.8125,1.289,0,4e-04,0
"ANPP","Aridity","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.391e-06,259,0.1297,0.8182,1.992,0,3.2608,NA
"ANPP_foliage","Aridity","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.269e-08,99,0.394,0.7586,1.999,0,2.8558,NA
"ANPP_woody_stem","Aridity","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.143e-07,263,0.2549,0.7922,1.546,0,0.7625,1e-04
"ANPP","PotentialEvapotranspiration","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,5.253e-17,202,0.4986,0.8412,0.2374,-0.002,0.2376,NA
"ANPP_foliage","PotentialEvapotranspiration","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.29e-11,69,0.6565,0.8148,2.457,-0.0011,0.1328,NA
"ANPP_woody_stem","PotentialEvapotranspiration","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.546e-09,232,0.2248,0.8872,0.257,8e-04,0.145,-1e-04
"ANPP","PotentialEvapotranspiration","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.906e-07,204,0.228,0.8742,1.316,0.0026,0,NA
"ANPP_foliage","PotentialEvapotranspiration","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,9.469e-07,75,0.4297,0.7977,2.493,0.0021,1e-04,NA
"ANPP_woody_stem","PotentialEvapotranspiration","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,8.504e-06,234,0.1698,0.8962,2.094,9e-04,1e-04,NA
"ANPP","PotentialEvapotranspiration","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,7.3e-16,259,0.4122,0.8332,0.278,-5e-04,-0.0408,NA
"ANPP_foliage","PotentialEvapotranspiration","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.22e-11,99,0.5591,0.8173,0.9029,4e-04,-0.0178,NA
"ANPP_woody_stem","PotentialEvapotranspiration","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,6.331e-08,263,0.2012,0.8325,1.424,1e-04,-0.0141,NA
"ANPP","PotentialEvapotranspiration","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,7.131e-11,259,0.307,0.8544,2.034,0.0028,0.0183,NA
"ANPP_foliage","PotentialEvapotranspiration","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.171e-08,99,0.464,0.8203,2.358,0.0019,0.0064,NA
"ANPP_woody_stem","PotentialEvapotranspiration","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,7.52e-06,263,0.1736,0.843,0.8552,0.001,0.0022,NA
"ANPP","PotentialEvapotranspiration","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.027e-10,259,0.2794,0.851,10.29,0.0096,0,0
"ANPP_foliage","PotentialEvapotranspiration","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.948e-07,99,0.3474,0.8102,0.7102,0.0026,0,NA
"ANPP_woody_stem","PotentialEvapotranspiration","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.003e-06,263,0.1671,0.8343,3.949,0.0042,0,0
"ANPP","PotentialEvapotranspiration","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.933e-07,259,0.1748,0.8321,2.124,0.0025,0,NA
"ANPP_foliage","PotentialEvapotranspiration","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.862e-08,99,0.4263,0.7777,1.374,0.002,0,NA
"ANPP_woody_stem","PotentialEvapotranspiration","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.707e-07,263,0.224,0.8125,1.289,4e-04,0,0
"ANPP","PotentialEvapotranspiration","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.464e-08,259,0.3088,0.8745,6.654,0.0062,9.1673,-0.0072
"ANPP_foliage","PotentialEvapotranspiration","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,7.665e-08,99,0.4127,0.7938,1.994,0.0028,6.3133,-0.0035
"ANPP_woody_stem","PotentialEvapotranspiration","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.8e-06,263,0.2603,0.8506,2.653,0.0019,4.2856,-0.0026
"ANPP","VapourPressureDeficit","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.341e-16,202,0.4597,0.8473,0.4509,1.4413,0.2758,-0.1701
"ANPP_foliage","VapourPressureDeficit","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,5.911e-11,69,0.6338,0.8105,2.165,0.0887,0.097,NA
"ANPP_woody_stem","VapourPressureDeficit","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,7.233e-09,232,0.2022,0.8909,0.3504,2.0674,0.1162,-0.1021
"ANPP","VapourPressureDeficit","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.487e-05,204,0.1642,0.8464,1.795,2.8526,1e-04,NA
"ANPP_foliage","VapourPressureDeficit","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.624e-07,75,0.4237,0.7497,2.51,3.0504,1e-04,NA
"ANPP_woody_stem","VapourPressureDeficit","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,8.266e-06,234,0.1736,0.8828,0.9321,1.1692,1e-04,NA
"ANPP","VapourPressureDeficit","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,9.917e-16,259,0.4067,0.8333,0.06676,-0.1403,-0.0385,NA
"ANPP_foliage","VapourPressureDeficit","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.096e-12,99,0.5925,0.8116,1.142,1.8989,-0.0043,-0.0294
"ANPP_woody_stem","VapourPressureDeficit","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.694e-08,263,0.2099,0.8306,1.832,0.4097,-0.013,NA
"ANPP","VapourPressureDeficit","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.149e-10,259,0.2639,0.8405,0.0944,3.9667,0.0196,NA
"ANPP_foliage","VapourPressureDeficit","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,9.576e-11,99,0.5238,0.7975,2.031,3.1835,0.0092,NA
"ANPP_woody_stem","VapourPressureDeficit","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,7.106e-06,263,0.1767,0.833,1.929,1.4358,0.0026,NA
"ANPP","VapourPressureDeficit","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.612e-10,259,0.2692,0.841,11.62,18.6362,0,0
"ANPP_foliage","VapourPressureDeficit","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.251e-07,99,0.3659,0.7845,1.68,2.245,0,NA
"ANPP_woody_stem","VapourPressureDeficit","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.412e-06,263,0.1731,0.8281,1.469,5.7668,0,0
"ANPP","VapourPressureDeficit","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.391e-06,259,0.1297,0.8182,1.992,3.2608,0,NA
"ANPP_foliage","VapourPressureDeficit","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.269e-08,99,0.394,0.7586,1.999,2.8558,0,NA
"ANPP_woody_stem","VapourPressureDeficit","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.143e-07,263,0.2549,0.7922,1.546,0.7625,0,1e-04
"ANPP","VapourPressureDeficit","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.464e-08,259,0.3088,0.8745,6.654,9.1673,0.0062,-0.0072
"ANPP_foliage","VapourPressureDeficit","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,7.665e-08,99,0.4127,0.7938,1.994,6.3133,0.0028,-0.0035
"ANPP_woody_stem","VapourPressureDeficit","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.8e-06,263,0.2603,0.8506,2.653,4.2856,0.0019,-0.0026
"R_auto","mat","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.742e-05,14,0.8414,0.9501,10.89,0.4523,0.0013,NA
"R_auto_root","mat","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.002544,46,0.4213,0.8579,1.327,0.0099,-8e-04,1e-04
"R_auto","mat","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.244e-05,14,0.8156,0.9472,11.04,0.5302,0.0058,NA
"R_auto_root","mat","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.01192,46,0.3031,0.8497,1.726,0.0962,-0.0146,-0.0012
"R_auto","mat","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.351e-05,14,0.8168,0.9485,10.71,0.5248,-0.011,NA
"R_auto_root","mat","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.04105,46,0.2022,0.8552,2.943,0.1164,-0.0025,NA
"R_auto","mat","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.756e-08,14,0.9472,0.9472,5.276,3.9431,1e-04,0
"R_auto_root","mat","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.03397,46,0.2116,0.8537,2.942,0.1379,0,NA
"R_auto","mat","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,5.792e-06,14,0.8699,0.9462,11.02,0.4341,4e-04,NA
"R_auto_root","mat","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.02069,46,0.276,0.8551,0.001485,-0.0196,0,0
"R_auto","mat","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.17e-05,14,0.8154,0.9479,9.608,0.5331,-0.001,NA
"R_auto_root","mat","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.04064,46,0.1982,0.8545,2.394,0.1296,-7e-04,NA
"R_auto","mat","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.057e-05,14,0.8136,0.9467,10.4,0.4613,1.5971,NA
"R_auto_root","mat","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.03746,46,0.2073,0.8551,2.746,0.0866,1.1546,NA
"R_auto","map","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.742e-05,14,0.8414,0.9501,10.89,0.0013,0.4523,NA
"R_auto_root","map","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.002544,46,0.4213,0.8579,1.327,-8e-04,0.0099,1e-04
"R_auto","map","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.0001019,14,0.7875,0.9387,8.219,7e-04,-0.0871,NA
"R_auto_root","map","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0004288,54,0.4735,0.8563,8.343,7e-04,-0.0064,0
"R_auto","map","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod",TRUE,0.002673,14,0.5884,0.9287,10.18,NA,NA,NA
"R_auto_root","map","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.006069,54,0.3122,0.856,2.628,7e-04,0.0152,NA
"R_auto","map","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod",TRUE,0.002673,14,0.5884,0.9287,4.435,NA,NA,NA
"R_auto_root","map","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0181,54,0.3102,0.8688,2.179,0.0045,0,0
"R_auto","map","Aridity","geographic.area/plot.name","age.greater.than.100","mod",TRUE,0.002673,14,0.5884,0.9287,10.6,NA,NA,NA
"R_auto_root","map","Aridity","geographic.area/plot.name","age.greater.than.100","mod",TRUE,0.03156,54,0.1995,0.8624,1.21,NA,NA,NA
"R_auto","map","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.000138,14,0.7702,0.9464,9.068,0.0015,0.0119,NA
"R_auto_root","map","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod",TRUE,0.03156,54,0.1995,0.8624,1.548,NA,NA,NA
"R_auto","map","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,8.565e-05,14,0.7889,0.9414,12.12,0.0017,14.0331,NA
"R_auto_root","map","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod",TRUE,0.03156,54,0.1995,0.8624,2.693,NA,NA,NA
"R_auto","TempSeasonality","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.244e-05,14,0.8156,0.9472,11.04,0.0058,0.5302,NA
"R_auto_root","TempSeasonality","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.01192,46,0.3031,0.8497,1.726,-0.0146,0.0962,-0.0012
"R_auto","TempSeasonality","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.0001019,14,0.7875,0.9387,8.219,-0.0871,7e-04,NA
"R_auto_root","TempSeasonality","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0004288,54,0.4735,0.8563,8.343,-0.0064,7e-04,0
"R_auto","TempSeasonality","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.003962,22,0.5192,0.9059,1.907,-0.1113,-0.0017,NA
"R_auto_root","TempSeasonality","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.0143,58,0.2373,0.8709,2.612,-0.0149,0.008,NA
"R_auto","TempSeasonality","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.002175,22,0.5503,0.9035,3.522,-0.084,0,NA
"R_auto_root","TempSeasonality","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.01753,58,0.2413,0.8729,2.293,-0.0212,0,NA
"R_auto","TempSeasonality","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.003678,22,0.5256,0.9085,3.381,-0.105,1e-04,NA
"R_auto_root","TempSeasonality","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.009004,58,0.2466,0.8632,1.23,-0.0011,1e-04,0
"R_auto","TempSeasonality","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.002521,22,0.5414,0.9041,5.069,-0.0742,0.0066,NA
"R_auto_root","TempSeasonality","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.004149,58,0.3113,0.8634,2.475,0.0221,0.0018,-1e-04
"R_auto","TempSeasonality","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.002947,22,0.5371,0.9038,5.059,-0.0864,5.4528,NA
"R_auto_root","TempSeasonality","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0004946,58,0.4046,0.859,7.717,0.0248,4.3393,-0.11
"R_auto","AnnualWetDays","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.351e-05,14,0.8168,0.9485,10.71,-0.011,0.5248,NA
"R_auto_root","AnnualWetDays","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.04105,46,0.2022,0.8552,2.943,-0.0025,0.1164,NA
"R_auto","AnnualWetDays","map","geographic.area/plot.name","age.greater.than.100","mod",TRUE,0.01162,14,0.4949,0.9258,10.18,NA,NA,NA
"R_auto_root","AnnualWetDays","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.006069,54,0.3122,0.856,2.628,0.0152,7e-04,NA
"R_auto","AnnualWetDays","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.003962,22,0.5192,0.9059,1.907,-0.0017,-0.1113,NA
"R_auto_root","AnnualWetDays","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.0143,58,0.2373,0.8709,2.612,0.008,-0.0149,NA
"R_auto","AnnualWetDays","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1027,22,0.2621,0.9127,0.1324,NA,NA,NA
"R_auto_root","AnnualWetDays","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod",TRUE,0.04541,58,0.1903,0.8789,2.644,NA,NA,NA
"R_auto","AnnualWetDays","Aridity","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1027,22,0.2621,0.9127,4.984,NA,NA,NA
"R_auto_root","AnnualWetDays","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.04391,58,0.1931,0.8753,2.502,0.0099,1e-04,NA
"R_auto","AnnualWetDays","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.004197,22,0.5152,0.909,4.472,0.0311,0.0144,NA
"R_auto_root","AnnualWetDays","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.04035,58,0.1735,0.8729,2.138,0.0187,0.0014,NA
"R_auto","AnnualWetDays","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.006483,22,0.4991,0.9061,4.505,0.039,15.9176,NA
"R_auto_root","AnnualWetDays","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.03518,58,0.1727,0.8717,0.5643,0.0195,1.6092,NA
"R_auto","SolarRadiation","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.756e-08,14,0.9472,0.9472,5.276,1e-04,3.9431,0
"R_auto_root","SolarRadiation","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.03397,46,0.2116,0.8537,2.942,0,0.1379,NA
"R_auto","SolarRadiation","map","geographic.area/plot.name","age.greater.than.100","mod",TRUE,0.0004909,14,0.6909,0.9418,4.435,NA,NA,NA
"R_auto_root","SolarRadiation","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0181,54,0.3102,0.8688,2.179,0,0.0045,0
"R_auto","SolarRadiation","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.002175,22,0.5503,0.9035,3.522,0,-0.084,NA
"R_auto_root","SolarRadiation","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.01753,58,0.2413,0.8729,2.293,0,-0.0212,NA
"R_auto","SolarRadiation","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod",TRUE,0.007794,22,0.4402,0.895,0.1324,NA,NA,NA
"R_auto_root","SolarRadiation","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.5016,58,0.02746,0.8795,2.644,NA,NA,NA
"R_auto","SolarRadiation","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.002381,22,0.5514,0.9071,3.519,1e-04,4e-04,NA
"R_auto_root","SolarRadiation","Aridity","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.5016,58,0.02746,0.8795,2.353,NA,NA,NA
"R_auto","SolarRadiation","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0002726,22,0.6867,0.8895,4.385,3e-04,0.1495,0
"R_auto_root","SolarRadiation","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.5016,58,0.02746,0.8795,4.053,NA,NA,NA
"R_auto","SolarRadiation","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0001181,22,0.7333,0.8974,7,2e-04,190.9734,-3e-04
"R_auto_root","SolarRadiation","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.5016,58,0.02746,0.8795,4.669,NA,NA,NA
"R_auto","Aridity","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,5.792e-06,14,0.8699,0.9462,11.02,4e-04,0.4341,NA
"R_auto_root","Aridity","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.02069,46,0.276,0.8551,0.001485,0,-0.0196,0
"R_auto","Aridity","map","geographic.area/plot.name","age.greater.than.100","mod",TRUE,0.00173,14,0.6322,0.9307,10.6,NA,NA,NA
"R_auto_root","Aridity","map","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1086,54,0.1241,0.8664,1.21,NA,NA,NA
"R_auto","Aridity","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.003678,22,0.5256,0.9085,3.381,1e-04,-0.105,NA
"R_auto_root","Aridity","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.009004,58,0.2466,0.8632,1.23,1e-04,-0.0011,0
"R_auto","Aridity","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1025,22,0.3048,0.9153,4.984,NA,NA,NA
"R_auto_root","Aridity","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.04391,58,0.1931,0.8753,2.502,1e-04,0.0099,NA
"R_auto","Aridity","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.002381,22,0.5514,0.9071,3.519,4e-04,1e-04,NA
"R_auto_root","Aridity","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod",TRUE,0.0371,58,0.1527,0.871,2.353,NA,NA,NA
"R_auto","Aridity","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.751e-05,22,0.7392,0.9258,2.256,-0.0011,-0.0016,0
"R_auto_root","Aridity","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod",TRUE,0.0371,58,0.1527,0.871,2.555,NA,NA,NA
"R_auto","Aridity","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.001356,22,0.5944,0.9075,0.5624,4e-04,18.1304,NA
"R_auto_root","Aridity","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod",TRUE,0.0371,58,0.1527,0.871,0.06829,NA,NA,NA
"R_auto","PotentialEvapotranspiration","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.17e-05,14,0.8154,0.9479,9.608,-0.001,0.5331,NA
"R_auto_root","PotentialEvapotranspiration","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.04064,46,0.1982,0.8545,2.394,-7e-04,0.1296,NA
