"X","site_plot","citation.ID","stand.age","measurement.ID","sites.sitename","plot.name","dominant.life.form","dominant.veg","variable.name.x","date.x","start.date.x","end.date.x","ANPP_canopy","min.dbh","required.citations","ForC.investigator","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.type","regrowth.year","distmrs.type","distmrs.yr","managed","disturbed","history.no.info","biomes","variable.name.y","date.y","start.date.y","end.date.y","ANPP_woody_stem","optional","AnnualMeanTemp","MeanDiurnalRange","Isothermality","TempSeasonality","MaxTWarmestMonth","MinTColdestMonth","TempRangeAnnual","MeanTWetQ","MeanTDryQ","MeanTWarmQ","MeanTColdQ","AnnualPre","PreWetMonth","PreDryMonth","PreSeasonality","PreWetQ","PreDryQ","PreWarmQ","PreColdQ","CloudCover","AnnualFrostDays","AnnualPET","AnnualWetDays"
75,"Emigrant Butte 6 unmanaged","Luyssaert_2007_cbob",118,4882,"Emigrant Butte 6","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,1.54,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",43.4949,-122.1896,1439,NA,NA,"240","Nearctic","Csb","Temperate mountain system","NAC","1883","Initiation of post-disturbance cohort (natural)","1883","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","2001",NA,NA,2.79,TRUE,5.1,13.7,0.43,60.21,24,-7.3,31.3,-1.4,13,13,-2.1,1318,228,19,67,648,90,90,595,64.1332602339181,201.563947368421,822.619298245614,117.596315789474
76,"Grants Pass 6 unmanaged","Luyssaert_2007_cbob",307,5670,"Grants Pass 6","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,1.93,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",42.4725,-123.2665,954,NA,NA,"291","Nearctic","Csb","Temperate mountain system","NAC","1694","Initiation of post-disturbance cohort (natural)","1694","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","2001",NA,NA,2.85,TRUE,9,14.4,0.47,56.17,27.7,-2.5,30.2,2.7,16.5,16.5,2.5,860,154,8,69,432,47,47,389,62.1405701754386,132.084298245614,947.277192982456,110.129210526316
77,"Hainich unmanaged","Bascietto_2003_dots",252,5892,"Hainich","unmanaged","woody","2TDB","ANPP_foliage",NA,"2000","2002",1.7,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Germany",51.0792,10.453,440,8.09,794.92,"305","Palearctic","Cfb","Temperate oceanic forest","NAC","1750","Initiation of post-disturbance cohort (natural)","1750","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem",NA,"2000","2002",1.77,TRUE,7.1,8.4,0.33,62.84,21,-4.3,25.3,15.1,-0.1,15.1,-1,736,82,47,16,226,153,226,164,75.0377192982456,118.105701754386,595.971929824561,180.721578947368
78,"Hawaii Site 5 Meterosideros forest.3400-y","Clark_2001_nppi",3400,6205,"Hawaii Site 5","Meterosideros forest.3400-y","woody","2TEB","ANPP_litterfall","NI","NI","NI",0.8225,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",19.75,-155.25,700,19.3,5800,"248","Oceania","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","NI","NI","NI",0.282,TRUE,16.6,8.8,0.7,11.64,23.1,10.6,12.5,15.4,16.9,18.2,15.2,2487,314,75,37,851,379,451,795,68.430701754386,0,1099.85087719298,248.613333333333
79,"Hawaii Site 6 Meterosideros forest.3400-y","Clark_2001_nppi",3400,6209,"Hawaii Site 6","Meterosideros forest.3400-y","woody","2TEB","ANPP_litterfall","NI","NI","NI",1.0763,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",19.75,-155.25,1660,13,2600,"248","Oceania","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","NI","NI","NI",0.47,TRUE,16.6,8.8,0.7,11.64,23.1,10.6,12.5,15.4,16.9,18.2,15.2,2487,314,75,37,851,379,451,795,68.430701754386,0,1099.85087719298,248.613333333333
80,"Heishiding evergreen broadleaf forest","Zhanghe_1992_soba",999,18282,"Heishiding","evergreen broadleaf forest","woody","2TREE","ANPP_litterfall","NRA","NRA","NRA",2.0116,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","China",23.45,111.88,380,19.6,1744,"313","IndoMalay","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI",0,0,1,"subtropical","ANPP_woody_stem","NRA","NRA","NRA",3.8446,TRUE,18.9,8.2,0.34,56.36,29.9,5.8,24.1,24.4,12.9,25.3,11.2,1596,276,35,64,731,110,681,144,71.9382309941521,1.99140350877193,997.979824561404,169.364649122807
81,"Jacaranda plots 1-5 terra firma JAC-01","Malhi_2004_tacw",999,18270,"Jacaranda plots 1-5","terra firma JAC-01","woody","2TEB","ANPP_litterfall","1999","1996","2002",3.102,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.38,-60.1,73,27.1,2272,"68","Neotropics","Af","Tropical rainforest","5","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","ANPP_woody_stem","1999","1996","2002",2.0774,TRUE,27,8.6,0.83,4.38,32.5,22.2,10.3,26.6,27.4,27.6,26.5,2491,333,116,32,898,370,423,781,81.6142543859649,0,1151.79473684211,243.733859649123
82,"Jacaranda plots 6-10 terra firma JAC-02","Malhi_2004_tacw",999,18271,"Jacaranda plots 6-10","terra firma JAC-02","woody","2TEB","ANPP_litterfall","1999","1996","2002",3.102,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.38,-60.1,73,27.1,2272,"68","Neotropics","Af","Tropical rainforest","5","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","ANPP_woody_stem","1999","1996","2002",1.8988,TRUE,27,8.6,0.83,4.38,32.5,22.2,10.3,26.6,27.4,27.6,26.5,2491,333,116,32,898,370,423,781,81.6142543859649,0,1151.79473684211,243.733859649123
83,"Jari 1 terra firma JRI-01","Chave_2008_aepa",999,18368,"Jari 1","terra firma JRI-01","woody","2TEB","ANPP_litterfall","1995","1985","2005",5.076,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1,-52.05,82,26.7,2403,"343","Neotropics","Am","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","ANPP_woody_stem","1990","1985","1996",2.3312,TRUE,26.8,9,0.82,5.66,33,22.1,10.9,26.4,27.5,27.6,26.1,2464,359,52,50,1013,230,262,810,77.606067251462,0,1127.90175438596,246.846315789474
84,"Jenaro High Restinga Seasonally flooded (1 mo) JEN-03","Nebel_2001_safc",999,18450,"Jenaro High Restinga","Seasonally flooded (1 mo) JEN-03","woody","2TEB","ANPP_litterfall","1993","1993","1993",3.2994,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-4.92,-73.73,116,26.69,2715,"347","Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","ANPP_woody_stem","1993","1993","1993",5.5695,TRUE,26.9,10.2,0.83,3.87,33,20.8,12.2,27,26.5,27.2,26.3,2614,278,139,20,781,459,695,558,81.189985380117,0,1393.29035087719,238.035964912281
85,"Jenaro Low Restinga seasonally flooded (2 month) JEN-06","Nebel_2001_safc",999,18451,"Jenaro Low Restinga","seasonally flooded (2 month) JEN-06","woody","2TEB","ANPP_litterfall","1993","1993","1993",3.3558,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-4.92,-73.73,116,26.69,2715,"347","Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","ANPP_woody_stem","1993","1993","1993",7.473,TRUE,26.9,10.2,0.83,3.87,33,20.8,12.2,27,26.5,27.2,26.3,2614,278,139,20,781,459,695,558,81.189985380117,0,1393.29035087719,238.035964912281
86,"Jezeri PO","Schulze_2000_tcan",79,7235,"Jezeri","PO","woody","2TDB","ANPP_foliage","1995",NA,NA,1.77,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Czech Republic",50.55,13.46,750,5.9,935,"348","Palearctic","Cfb","Temperate mountain system","NAC","1916","Planted","NAC","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","1995",NA,NA,2.02,TRUE,5.1,6.8,0.27,65.95,18.4,-6.4,24.8,13.4,-2.6,13.4,-3.4,787,95,47,23,267,153,267,162,74.1869883040936,131.002894736842,667.074561403509,178.057894736842
87,"Kagneri Mature Rain forest","Rai_1986_esof",999,7466,"Kagneri","Mature Rain forest","woody","2TEB","ANPP_litterfall","NI","NI","NI",1.8706,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","India",12.82,75.6,500,28.6,6100,"369","IndoMalay","Aw","Tropical rainforest","1","NAC","NAC","NAC","NAC","NAC",0,0,1,"tropical","ANPP_woody_stem","NI","NI","NI",4.324,TRUE,25.1,8.7,0.58,14.2,33,18.2,14.8,24,25.4,27.3,23.9,3612,1275,0,126,2669,11,270,2387,46.4839912280702,0,1431.78245614035,92.8531578947368
88,"Kalimantan Barito Ulu","Mirmanto_1999_eona",999,18586,"Kalimantan","Barito Ulu","woody","2TREE","ANPP_litterfall","1993","1993","1993",3.337,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Indonesia",-0.1,113.93,NA,27.5,3600,"NAC","Indo-Malay","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","1993","1993","1993",3.196,TRUE,24.7,8.1,0.93,2.25,29.1,20.4,8.7,24.4,24.6,24.8,24.3,3673,404,202,21,1115,633,1062,1068,70.0803362573099,0,1140.41929824561,251.853771929825
89,"Kenia KEN01 wet","Araujo-Murakami_2014_tpaa",999,7551,"Kenia KEN01","wet","woody","2TEB","ANPP_foliage",NA,"2009","2011.413699",2.91,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Bolivia",-16.02,-62.73,384,23.4,1310,"376","Neotropics","Aw","Tropical moist forest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2008","2010",4.12,TRUE,24.2,12.3,0.69,17.85,32.3,14.5,17.8,25.7,21.7,25.9,21.6,1071,183,24,59,491,101,333,128,59.6303362573099,0,1490.29298245614,98.5825438596491
90,"Kenia KEN02 dry","Araujo-Murakami_2014_tpaa",999,7562,"Kenia KEN02","dry","woody","2TEB","ANPP_foliage",NA,"2009","2011.413699",2.22,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Bolivia",-16.02,-62.73,384,23.4,1310,"376","Neotropics","Aw","Tropical moist forest","1","NAC","NAC","NAC","NAC","NAC",0,1,0,"tropical","ANPP_woody_stem",NA,"2008","2010",2.56,TRUE,24.2,12.3,0.69,17.85,32.3,14.5,17.8,25.7,21.7,25.9,21.6,1071,183,24,59,491,101,333,128,59.6303362573099,0,1490.29298245614,98.5825438596491
91,"La Planada CTFS-ForestGEO plot 25-ha forest dynamics plot","Chave_2008_aepa",999,18288,"La Planada CTFS-ForestGEO plot","25-ha forest dynamics plot","woody","2TEB","ANPP_litterfall","1995","1985","2005",3.6801,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Colombia",1.1558,-77.9935,1818,19,4087,"NAC","Neotropic","Cfb","Tropical mountain system","25","NAC","NAC","NAC","NAC","NAC",0,0,0,"tropical","ANPP_woody_stem","1995","1985","2005",2.2325,TRUE,17.8,10.1,0.88,2.45,23.7,12.3,11.4,17.5,17.9,18.1,17.4,1716,214,40,41,613,177,535,550,79.5480263157895,0.0251754385964912,992.132456140351,174.038596491228
92,"Lookout Mountains 5 NI","Luyssaert_2007_cbob",111,8473,"Lookout Mountains 5","NI","woody","2TEN","ANPP_foliage","2001",NA,NA,2.79,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.8344,-122.0899,989,NA,NA,"439","Nearctic","Csb","Temperate mountain system","NAC","1890","Initiation of post-disturbance cohort (planted or natural)","1890","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","2001",NA,NA,1.56,TRUE,6.2,9.6,0.38,53.38,21.2,-3.7,24.9,0.5,13.2,13.4,0,2637,433,32,64,1255,169,185,1181,70.0078947368421,113.934824561404,795.509649122807,141.118596491228
93,"Lookout Mountains 6 NI","Luyssaert_2007_cbob",85,8485,"Lookout Mountains 6","NI","woody","2TEN","ANPP_foliage","2001",NA,NA,2.44,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.8464,-122.1093,1200,NA,NA,"439","Nearctic","Csb","Temperate mountain system","NAC","1916","Initiation of post-disturbance cohort (planted or natural)","1916","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","2001",NA,NA,3.94,TRUE,5.3,9.2,0.38,52.59,19.9,-4.2,24.1,-0.2,12.2,12.5,-0.7,2744,448,35,63,1297,181,198,1219,70.0078947368421,113.934824561404,795.509649122807,141.118596491228
94,"Luquillo 3 Prestoea montana, tropical palm forest","Frangi_1985_edoa",999,18627,"Luquillo 3","Prestoea montana, tropical palm forest","woody","2TEB","ANPP_litterfall","1980","1980","1981",4.136,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",18.42,-65.92,NA,19.7,1885,"81","Neotropics","Am","Tropical moist forest","NAC","NAC","NAC","NAC","NAC","NAC",0,0,1,"tropical","ANPP_woody_stem","1980","1980","1981",1.551,TRUE,25.7,8.5,0.71,12.42,31.4,19.5,11.9,27.1,24.5,27.1,24,1771,186,74,27,545,266,545,271,59.9997076023392,0,1199.02105263158,214.942192982456
95,"Manaus (Malhi 2009) lowland tropical forest","Malhi_2011_taoe",999,8881,"Manaus (Malhi 2009)","lowland tropical forest","woody","2TEB","ANPP_litterfall","NI","NI","NI",3.57,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.6,-60.2,90,27.6,2349,"68","Neotropics","Af","Tropical rainforest","NAC","NAC","NI","NAC","NI","NAC",0,0,1,"tropical","ANPP_woody_stem","NI","NI","NI",2.58,TRUE,27.2,8.5,0.82,4.53,32.7,22.4,10.3,26.8,27.7,27.8,26.8,2286,309,96,35,802,321,393,753,82.2479532163743,0,1156.25087719298,245.646052631579
96,"Maraca Island,Forest without Peltogyne partially flooded tropical forest.MAI3","Villela_1999_lmca",999,18276,"Maraca Island,Forest without Peltogyne","partially flooded tropical forest.MAI3","woody","2TEB","ANPP_litterfall","1991","1991","1992",4.0326,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",3.37,-61.4,NA,NA,1572,"515","Neotropics","Am","Tropical moist forest","NAC","NAC","NAC","NAC","NAC","NAC",0,0,1,"tropical","ANPP_woody_stem","1991","1991","1992",1.504,TRUE,27,10.5,0.88,5.01,33,21.1,11.9,26.3,27.1,27.3,26.1,1616,331,27,77,886,117,208,803,55.959649122807,0,1482.14298245614,188.171403508772
97,"Maraca Island,Peltogyne-rich forest partially flooded tropical forest.MAI1","Villela_1999_lmca",999,18278,"Maraca Island,Peltogyne-rich forest","partially flooded tropical forest.MAI1","woody","2TEB","ANPP_litterfall","1991","1991","1992",3.7271,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",3.37,-61.4,NA,NA,1572,"515","Neotropics","Am","Tropical moist forest","NAC","NAC","NAC","NAC","NAC","NAC",0,0,1,"tropical","ANPP_woody_stem","1991","1991","1992",1.222,TRUE,27,10.5,0.88,5.01,33,21.1,11.9,26.3,27.1,27.3,26.1,1616,331,27,77,886,117,208,803,55.959649122807,0,1482.14298245614,188.171403508772
98,"Maraca Island,Peltogyne poor forest partially flooded tropical forest.MAI2","Villela_1999_lmca",999,18277,"Maraca Island,Peltogyne poor forest","partially flooded tropical forest.MAI2","woody","2TEB","ANPP_litterfall","1991","1991","1992",4.2629,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",3.37,-61.4,NA,NA,1572,"515","Neotropics","Am","Tropical moist forest","NAC","NAC","NAC","NAC","NAC","NAC",0,0,1,"tropical","ANPP_woody_stem","1991","1991","1992",1.504,TRUE,27,10.5,0.88,5.01,33,21.1,11.9,26.3,27.1,27.3,26.1,1616,331,27,77,886,117,208,803,55.959649122807,0,1482.14298245614,188.171403508772
99,"Marihan Site 1","Singh_1991_ssdm",999,18478,"Marihan","Site 1","woody","2TREE","ANPP_litterfall","1988","1987","1989",1.363,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","India",25,82.67,NA,27,821,"NAC","IndoMalay","Cwa","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","1988","1987","1989",2.256,TRUE,25.6,12.5,0.38,58.96,41.4,9.2,32.2,28.8,24.6,32.5,17.3,987,334,2,138,813,21,90,34,38.0672514619883,0.798070175438596,1570.78684210526,51.8438596491228
100,"Marihan Site 2","Singh_1991_ssdm",999,18479,"Marihan","Site 2","woody","2TREE","ANPP_litterfall","1988","1987","1989",0.752,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","India",25,82.67,NA,27,821,"NAC","IndoMalay","Cwa","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","1988","1987","1989",0.611,TRUE,25.6,12.5,0.38,58.96,41.4,9.2,32.2,28.8,24.6,32.5,17.3,987,334,2,138,813,21,90,34,38.0672514619883,0.798070175438596,1570.78684210526,51.8438596491228
101,"Marihan Site 3","Singh_1991_ssdm",999,18480,"Marihan","Site 3","woody","2TREE","ANPP_litterfall","1988","1987","1989",0.705,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","India",25,82.67,NA,27,821,"NAC","IndoMalay","Cwa","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","1988","1987","1989",0.94,TRUE,25.6,12.5,0.38,58.96,41.4,9.2,32.2,28.8,24.6,32.5,17.3,987,334,2,138,813,21,90,34,38.0672514619883,0.798070175438596,1570.78684210526,51.8438596491228
102,"Mauna Loa Old flow 2 Old flow 2","Raich_1997_ppae",999,18351,"Mauna Loa Old flow 2","Old flow 2","woody","2TEB","ANPP_litterfall","1992","1991","1993",1.0763,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",19.45,-155.15,NA,13,4300,"NAC","Neotropic","Af","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","1992","1991","1993",0.423,TRUE,18.4,8.8,0.72,11.09,24.6,12.4,12.2,17.2,19.3,19.9,17,3382,393,145,29,1086,585,645,1005,67.7986842105263,0,1281.5149122807,254.443947368421
103,"Mauna Loa Young flow 1 Young flow 1","Raich_1997_ppae",999,18348,"Mauna Loa Young flow 1","Young flow 1","woody","2TEB","ANPP_litterfall","1992","1991","1993",0.5076,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",19.45,-155.15,NA,20.9,4300,"NAC","Neotropic","Af","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","1992","1991","1993",0.4418,TRUE,18.4,8.8,0.72,11.09,24.6,12.4,12.2,17.2,19.3,19.9,17,3382,393,145,29,1086,585,645,1005,67.7986842105263,0,1281.5149122807,254.443947368421
104,"Mauna Loa Young flow 2 Young flow 2","Raich_1997_ppae",999,18349,"Mauna Loa Young flow 2","Young flow 2","woody","2TEB","ANPP_litterfall","1992","1991","1993",0.3807,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",19.45,-155.15,NA,20,4300,"NAC","Neotropic","Af","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","1992","1991","1993",0.0846,TRUE,18.4,8.8,0.72,11.09,24.6,12.4,12.2,17.2,19.3,19.9,17,3382,393,145,29,1086,585,645,1005,67.7986842105263,0,1281.5149122807,254.443947368421
105,"Mauna Loa Young flow 3 Young flow 3","Raich_1997_ppae",999,18350,"Mauna Loa Young flow 3","Young flow 3","woody","2TEB","ANPP_litterfall","1992","1991","1993",0.2538,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",19.45,-155.15,NA,16,4300,"NAC","Neotropic","Af","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","1992","1991","1993",0.0329,TRUE,18.4,8.8,0.72,11.09,24.6,12.4,12.2,17.2,19.3,19.9,17,3382,393,145,29,1086,585,645,1005,67.7986842105263,0,1281.5149122807,254.443947368421
106,"Menglun Nature Reserve lowland tropical forest","Malhi_2011_taoe",999,9121,"Menglun Nature Reserve","lowland tropical forest","woody","2TB","ANPP_litterfall","NI","NI","NI",4.16,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","China",21.95,101.2,750,19.25,1487,"522","IndoMalay","Cwa","Tropical mountain system","NAC","NAC","NI","NAC","NI","NAC",0,0,1,"tropical","ANPP_woody_stem","NI","NI","NI",3.38,TRUE,22.2,11.9,0.54,32.7,31.7,9.7,22,25,18.7,25.4,17.3,1403,257,20,73,704,68,588,70,62.3042397660819,0.523070175438596,1056.47456140351,200.474561403509
107,"Menglun Nature Reserve primary forest","Tan_2011_aosa",999,18284,"Menglun Nature Reserve","primary forest","woody","2TB","ANPP_litterfall","2005","2003","2007",3.9104,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","China",21.95,101.2,750,19.25,1487,"522","IndoMalay","Cwa","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem","2005","2003","2007",3.1772,TRUE,22.2,11.9,0.54,32.7,31.7,9.7,22,25,18.7,25.4,17.3,1403,257,20,73,704,68,588,70,62.3042397660819,0.523070175438596,1056.47456140351,200.474561403509
108,"Metolius 10 unmanaged","Luyssaert_2007_cbob",190,9169,"Metolius 10","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,0.73,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.4982,-121.6249,895,NA,NA,"366","Nearctic","Csb","Temperate mountain system","NAC","1811","Initiation of post-disturbance cohort (natural)","1811","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","2001",NA,NA,1.4,TRUE,7.3,14.6,0.44,61.95,27.1,-5.6,32.7,0.2,15.3,15.6,-0.2,780,130,15,60,371,67,68,347,66.8328947368421,205.400614035088,761.801754385965,121.594298245614
109,"Metolius 11 unmanaged","Luyssaert_2007_cbob",316,9192,"Metolius 11","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,0.48,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.4222,-121.6066,1129,NA,NA,"366","Nearctic","Csb","Temperate mountain system","NAC","1685","Initiation of post-disturbance cohort (natural)","1685","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","2001",NA,NA,0.45,TRUE,6.4,14.3,0.44,60.93,25.8,-6.5,32.3,-0.5,14.3,14.5,-1,814,136,17,60,386,73,74,361,66.8328947368421,205.400614035088,761.801754385965,121.594298245614
110,"Metolius Old Pine mosaic of old growth, young trees, and mixed age stands natural regeneration after fire","Luyssaert_2007_cbob",251,9457,"Metolius Old Pine","mosaic of old growth, young trees, and mixed age stands natural regeneration after fire","woody","2TEN","ANPP_foliage","2001",NA,NA,0.81,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.498889,-121.623611,915,8.15,482.13,"366","Nearctic","Csb","Temperate mountain system","NAC","1748","Initiation of post-disturbance cohort (natural)","1748","Burned","1748",0,1,0,"temperate","ANPP_woody_stem","2001",NA,NA,0.9,TRUE,7.3,14.6,0.44,61.95,27.1,-5.6,32.7,0.2,15.3,15.6,-0.2,780,130,15,60,371,67,68,347,66.8328947368421,205.400614035088,761.801754385965,121.594298245614
111,"Mill City South 6 NI","Luyssaert_2007_cbob",74,9599,"Mill City South 6","NI","woody","2TEN","ANPP_foliage","2001",NA,NA,2.21,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.7019,-122.5,676,NA,NA,"66","Nearctic","Csb","Temperate mountain system","NAC","1927","Initiation of post-disturbance cohort (planted or natural)","1927","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","2001",NA,NA,2.54,TRUE,7.6,10.3,0.42,49.84,22.6,-1.8,24.4,2.3,14.2,14.4,1.9,2346,383,29,62,1090,156,164,1011,68.794298245614,160.394035087719,747.924561403509,133.439824561404
112,"Mocambo terra firma MBO-01","Clark_2001_nppi",999,18369,"Mocambo","terra firma MBO-01","woody","2TEB","ANPP_litterfall","NI","NI","NI",4.606,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.45,-48.45,24,26.63,2933,"296","Neotropics","Af","Tropical rainforest","2","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","ANPP_woody_stem","1963","1956","1971",2.3782,TRUE,26.9,9.4,0.88,2.78,32.4,21.8,10.6,26.4,27.1,27.1,26.4,2560,384,90,50,1073,301,301,1073,75.3446637426901,0,1105.58245614035,280.836403508772
