,site_plot,citation.ID,stand.age,date,measurement.ID,sites.sitename,plot.name,dominant.life.form,dominant.veg,variable.name.x,start.date.x,end.date.x,ANPP_canopy,min.dbh,required.citations,ForC.investigator,country,lat,lon,masl,mat,map,geographic.area,biogeog,Koeppen,FAO.ecozone,managed,disturbed,history.no.info,optional,AnnualMeanTemp,MeanDiurnalRange,TempSeasonality,TempRangeAnnual,AnnualPre,PreSeasonality,CloudCover,AnnualFrostDays,AnnualPET,AnnualWetDays,VapourPressure,SolarRadiation,biomes,ANPP_woody,ANPP_1
103,Podocarpus 2 unmanaged,Moser_2011_eeot,999,NA,11100,Podocarpus 2,unmanaged,woody,2TEB,ANPP_foliage,2003,2004,2.57,NA,Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Ecuador,-4.11,-78.97,1540,17.5,2300,114,South America,Cfb,Tropical mountain system,0,0,0,TRUE,21.5,11.9,4.99,14.2,1603,20,73.50643275,0.474210526,1667.457018,183.0603509,0.191666666,487753.1,tropical,0.77,3.34
104,Podocarpus National Park 1 montane tropical forest.PNP1,Moser_2007_acil,999,2003,18294,Podocarpus National Park 1,montane tropical forest.PNP1,woody,2TEB,ANPP_litterfall,2003,2004,3.6566,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Ecuador,-3.97,-79.1,NA,NA,1084,114,South America,Cfb,Tropical mountain system,0,0,0,TRUE,15.1,9.9,3.67,11.4,1127,22,74.84912281,72.20535088,1457.066667,179.4321053,0.140416669,476990.7,tropical,1.3254,4.982
105,Podocarpus National Park 2 montane tropical forest.PNP2,Moser_2007_acil,999,2003,18295,Podocarpus National Park 2,montane tropical forest.PNP2,woody,2TEB,ANPP_litterfall,2003,2004,3.4498,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Ecuador,-3.97,-79.1,NA,NA,1084,114,South America,Cfb,Tropical mountain system,0,0,0,TRUE,15.1,9.9,3.67,11.4,1127,22,74.84912281,72.20535088,1457.066667,179.4321053,0.140416669,476990.7,tropical,0.7426,4.183
106,Podocarpus National Park 3 montane tropical forest.PNP3,Moser_2007_acil,999,2003,18296,Podocarpus National Park 3,montane tropical forest.PNP3,woody,2TEB,ANPP_litterfall,2003,2004,3.9198,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Ecuador,-3.97,-79.1,NA,NA,1084,114,South America,Cfb,Tropical mountain system,0,0,0,TRUE,15.1,9.9,3.67,11.4,1127,22,74.84912281,72.20535088,1457.066667,179.4321053,0.140416669,476990.7,tropical,0.4089,4.324
107,Podocarpus National Park 4 montane tropical forest.PNP4,Moser_2007_acil,999,2003,18297,Podocarpus National Park 4,montane tropical forest.PNP4,woody,2TEB,ANPP_litterfall,2003,2004,1.7155,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Ecuador,-3.97,-79.1,NA,NA,1084,114,South America,Cfb,Tropical mountain system,0,0,0,TRUE,15.1,9.9,3.67,11.4,1127,22,74.84912281,72.20535088,1457.066667,179.4321053,0.140416669,476990.7,tropical,0.1034,1.833
108,Podocarpus National Park 5 montane tropical forest.PNP5,Moser_2007_acil,999,2003,18298,Podocarpus National Park 5,montane tropical forest.PNP5,woody,2TEB,ANPP_litterfall,2003,2004,1.269,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Ecuador,-3.97,-79.1,NA,NA,1084,114,South America,Cfb,Tropical mountain system,0,0,0,TRUE,15.1,9.9,3.67,11.4,1127,22,74.84912281,72.20535088,1457.066667,179.4321053,0.140416669,476990.7,tropical,0.0658,1.316
109,Porce primary forest,Sierra_2007_tcsi,999,1999,18285,Porce,primary forest,woody,2TEB,ANPP_litterfall,1999,1999,4.4274,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Colombia,6.75,-75.1,1500,23,2078,615,South America,Af,Tropical mountain system,0,0,0,TRUE,23.3,10.2,4.27,11.6,2834,44,68.37697368,0,1048.864912,205.0757895,0.226249999,650863.1,tropical,4.935,6.862
110,Reserva Biologica San Francisco 1 unmanaged,Moser_2011_eeot,999,NA,12352,Reserva Biologica San Francisco 1,unmanaged,woody,2TEB,ANPP_foliage,2003,2004,2.51,NA,Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Ecuador,-3.98,-79.1,1890,15.69999981,1950,114,South America,Cfb,Tropical mountain system,0,0,0,TRUE,16.5,10,3.93,12.1,1210,17,74.84912281,72.20535088,1457.066667,179.4321053,0.1515,476372,tropical,0.42,2.93
111,Reserva Biologica San Francisco 2 unmanaged,Moser_2011_eeot,999,NA,12369,Reserva Biologica San Francisco 2,unmanaged,woody,2TEB,ANPP_foliage,2003,2004,1.34,NA,Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Ecuador,-3.99,-79.1,2380,13.19999981,5000,114,South America,Cfb,Tropical mountain system,0,0,0,TRUE,15.9,9.9,3.65,11.8,1164,19,74.84912281,72.20535088,1457.066667,179.4321053,0.147916666,471621.4,tropical,0.11,1.45
112,Salero PPIB,Mosquera_2007_cdlc,999,NRA,18290,Salero,PPIB,woody,2TEB,ANPP_litterfall,NRA,NRA,3.4545,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Peru,-5.32,-76.6,NA,23.7,6885,NAC,South America,Af,Tropical rainforest,0,0,0,TRUE,26,9.3,3.48,11.3,2138,20,77.03545322,0,1555.904386,188.7544737,0.267583334,505067.1,tropical,4.7235,8.178
113,San Carlos de Rio Negro Species-rich Tierra Firme (Oxisols) unmanaged Mature terra firma,Jordan_1999_ntfs,999,NA,12939,San Carlos de Rio Negro Species-rich Tierra Firme (Oxisols),unmanaged Mature terra firma,woody,2TEB,ANPP_foliage,1975,1981,2.82,NA,Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Venezuela,1.93,-67.05,119,25.98,3500,657,South America,Af,Tropical rainforest,0,0,0,TRUE,26.2,13.3,4.13,14.4,3432,23,70.61973684,0,1134.385965,232.5850877,0.295666669,562183.6,tropical,2.36,5.18
114,San Pedro unmanaged upland tropical forest,Girardin_2010_nppa,999,2005,18341,San Pedro,unmanaged upland tropical forest,woody,2TEB,ANPP_litterfall,2003,2007,2.5944,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Peru,-13.05,-71.54,1500,18.8,2631,673,South America,Cfb,Tropical mountain system,0,0,0,TRUE,21.1,13,7.45,16.3,2518,47,59.68450292,87.11798246,1106.259649,110.9999123,0.182916668,508401.9,tropical,1.5228,4.136
115,San Pedro unmanaged upland tropical forest,Girardin_2010_nppa,999,NA,13020,San Pedro,unmanaged upland tropical forest,woody,2TEB,ANPP_foliage,2007,2008,2.76,NA,Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Peru,-13.05,-71.54,1500,18.8,2631,673,South America,Cfb,Tropical mountain system,0,0,0,TRUE,21.1,13,7.45,16.3,2518,47,59.68450292,87.11798246,1106.259649,110.9999123,0.182916668,508401.9,tropical,1.62,4.38
116,Sebulu tropical lowland evergreen dipterocarp rainforest,Yamakura_1986_tsia,999,1980,18307,Sebulu,tropical lowland evergreen dipterocarp rainforest,woody,2TEB,ANPP_litterfall,1980,1980,2.679,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Indonesia,-0.27,116.97,70,27,1862,696,Asia,Af,Tropical rainforest,0,0,1,TRUE,26.7,6.9,2.02,7.6,1980,24,66.72653509,0,1286.166667,210.8094737,0.295583336,613978.8,tropical,4.935,7.614
117,Serra do Mar Lowland Lowland,Alves_2010_fsal,999,2006,18267,Serra do Mar Lowland,Lowland,woody,2TEB,ANPP_litterfall,2006,2007,4.0185,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Brazil,-23.34,-44.83,NA,25.5,2500,NAC,South America,Cfa,Tropical rainforest,0,0,0,TRUE,22.2,9.8,22.09,17,2381,42,74.09802632,0.060964912,936.3307018,193.5250877,0.213249999,511856.6,tropical,1.645,5.687
118,Serra do Mar Restinga Restinga,Alves_2010_fsal,999,2006,18266,Serra do Mar Restinga,Restinga,woody,2TEB,ANPP_litterfall,2006,2007,3.854,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Brazil,-23.36,-44.85,NA,25.5,2500,NAC,South America,Cfa,Tropical rainforest,0,0,0,TRUE,23.2,9.3,22.15,16.5,2438,39,74.09802632,0.060964912,936.3307018,193.5250877,0,0,tropical,1.081,4.935
119,Serra do Mar Submontane Submontane,Alves_2010_fsal,999,2006,18268,Serra do Mar Submontane,Submontane,woody,2TEB,ANPP_litterfall,2006,2007,3.0691,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Brazil,-23.33,-45.07,NA,19.1,2500,NAC,South America,Cfb,Tropical rainforest,0,0,0,TRUE,16.4,10.8,22.17,17.8,1738,59,74.91703216,1.804035088,902.477193,198.2294737,0.1625,520795.2,tropical,2.162,5.217
120,Sulawesi upland tropical forest,Hertel_2009_coat,999,2004,18306,Sulawesi,upland tropical forest,woody,2TEB,ANPP_litterfall,2004,2005,3.5344,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Indonesia,-1.48,120.05,1050,20.8,3534,726,Asia,Af,Tropical rainforest,0,0,1,TRUE,20.6,7.9,4.93,9.9,1894,25,66.4122076,0,1212.299123,236.4355263,0.198166666,628873.2,tropical,2.6414,6.157
121,Susser Schlag PO,Mund_2002_gacs,72,NA,14080,Susser Schlag,PO,woody,2TEN,ANPP_foliage,1995,1997,2.19,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Germany,50.15,11.87,740,4.5,1000,67,Europe,Cfb,Temperate oceanic forest,0,0,0,TRUE,5.6,7.6,64.92,25.3,854,16,74.16052632,138.5107018,604.9491228,183.2137719,0.079166666,376185,temperate,2.38,4.57
122,Sylvania unmanaged hemlock-hardwood old-growth,Desai_2005_cnee,350,NA,14105,Sylvania,unmanaged hemlock-hardwood old-growth,woody,2TM,ANPP_foliage,2002,2003,1.28,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,46.24,-89.34,542,3.9,771,730,North America,Dfb,Temperate continental forest,0,0,0,TRUE,3.7,12.4,108.22,43.7,839,37,65.83823099,206.0797368,680.9701754,128.6024561,0.075083333,444422.4,temperate,0.84,2.12
123,Thurston Meterosideros forest.300-y,Vitousek_1995_fndl,300,1992,18354,Thurston,Meterosideros forest.300-y,woody,2TEB,ANPP_litterfall,1992,1993,1.7907,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,19.41,-155.24,1176,16,2500,748,Oceania,Af,Tropical mountain system,0,0,0,TRUE,16,8.9,11.97,12.6,2833,34,67.79868421,0,1281.514912,254.4439474,0.154000001,647229,tropical,2.3782,4.183
124,Tono unmanaged,Girardin_2010_nppa,999,2005,18335,Tono,unmanaged,woody,2TEB,ANPP_litterfall,2003,2007,2.3406,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Peru,-12.96,-71.56,1000,20.7,NA,673,South America,Cfb,Tropical mountain system,0,0,0,TRUE,22.8,12,6.85,14.9,2749,44,61.7873538,10.07596491,1058.623684,118.6139474,0.204250001,537271.5,tropical,1.2596,3.619
125,Tono unmanaged,Girardin_2010_nppa,999,NA,15191,Tono,unmanaged,woody,2TEB,ANPP_foliage,2007,2008,2.49,NA,Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Peru,-12.96,-71.56,1000,20.7,NA,673,South America,Cfb,Tropical mountain system,0,0,0,TRUE,22.8,12,6.85,14.9,2749,44,61.7873538,10.07596491,1058.623684,118.6139474,0.204250001,537271.5,tropical,1.34,3.83
126,Trocha Union 3 unmanaged upland tropical forest,Girardin_2010_nppa,999,2005,18336,Trocha Union 3,unmanaged upland tropical forest,woody,2TEB,ANPP_litterfall,2003,2007,1.1186,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Peru,-13.11,-71.6,3020,11.8,1776,673,South America,Cfb,Tropical mountain system,0,0,0,TRUE,14.2,15.1,10.86,19.9,359,59,59.68450292,87.11798246,1106.259649,110.9999123,0.10975,506208.8,tropical,0.94,2.068
127,Trocha Union 3 unmanaged upland tropical forest,Girardin_2010_nppa,999,NA,15225,Trocha Union 3,unmanaged upland tropical forest,woody,2TEB,ANPP_foliage,2007,2008,1.19,NA,Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Peru,-13.11,-71.6,3020,11.8,1776,673,South America,Cfb,Tropical mountain system,0,0,0,TRUE,14.2,15.1,10.86,19.9,359,59,59.68450292,87.11798246,1106.259649,110.9999123,0.10975,506208.8,tropical,1,2.19
128,Trocha Union 4 unmanaged upland tropical forest,Girardin_2010_nppa,999,2005,18337,Trocha Union 4,unmanaged upland tropical forest,woody,2TEB,ANPP_litterfall,2003,2007,1.7202,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Peru,-13.11,-71.6,2720,13.5,2318,673,South America,Cfb,Tropical mountain system,0,0,0,TRUE,14.2,15.1,10.86,19.9,359,59,59.68450292,87.11798246,1106.259649,110.9999123,0.10975,506208.8,tropical,1.4758,3.196
129,Trocha Union 4 unmanaged upland tropical forest,Girardin_2010_nppa,999,NA,15238,Trocha Union 4,unmanaged upland tropical forest,woody,2TEB,ANPP_foliage,2007,2008,1.83,NA,Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Peru,-13.11,-71.6,2720,13.5,2318,673,South America,Cfb,Tropical mountain system,0,0,0,TRUE,14.2,15.1,10.86,19.9,359,59,59.68450292,87.11798246,1106.259649,110.9999123,0.10975,506208.8,tropical,1.57,3.4
130,Trocha Union 7 unmanaged upland tropical forest,Girardin_2010_nppa,999,2005,18338,Trocha Union 7,unmanaged upland tropical forest,woody,2TEB,ANPP_litterfall,2003,2007,1.3536,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Peru,-13.07,-71.56,2020,17.4,1827,673,South America,Cfb,Tropical mountain system,0,0,0,TRUE,19.5,13.9,7.86,17.4,1990,51,59.68450292,87.11798246,1106.259649,110.9999123,0.16475,502750.7,tropical,0.7426,2.115
131,Trocha Union 7 unmanaged upland tropical forest,Girardin_2010_nppa,999,NA,15251,Trocha Union 7,unmanaged upland tropical forest,woody,2TEB,ANPP_foliage,2007,2008,1.44,NA,Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Peru,-13.07,-71.56,2020,17.4,1827,673,South America,Cfb,Tropical mountain system,0,0,0,TRUE,19.5,13.9,7.86,17.4,1990,51,59.68450292,87.11798246,1106.259649,110.9999123,0.16475,502750.7,tropical,0.79,2.23
132,Trocha Union 8 unmanaged upland tropical forest,Girardin_2010_nppa,999,2005,18339,Trocha Union 8,unmanaged upland tropical forest,woody,2TEB,ANPP_litterfall,2003,2007,1.3536,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Peru,-13.07,-71.56,1855,18,2472,673,South America,Cfb,Tropical mountain system,0,0,0,TRUE,19.5,13.9,7.86,17.4,1990,51,59.68450292,87.11798246,1106.259649,110.9999123,0.16475,502750.7,tropical,0.7426,2.115
133,Trocha Union 8 unmanaged upland tropical forest,Girardin_2010_nppa,999,NA,15264,Trocha Union 8,unmanaged upland tropical forest,woody,2TEB,ANPP_foliage,2007,2008,1.44,NA,Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Peru,-13.07,-71.56,1855,18,2472,673,South America,Cfb,Tropical mountain system,0,0,0,TRUE,19.5,13.9,7.86,17.4,1990,51,59.68450292,87.11798246,1106.259649,110.9999123,0.16475,502750.7,tropical,0.79,2.23
134,Tropenstation La Gamba Gorge,Hofhansl_2011_tsaa,999,2005,18434,Tropenstation La Gamba,Gorge,woody,2TEB,ANPP_litterfall,2005,2005,6.0536,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Costa Rica,8.7,-83.2,NA,28,5750,NAC,North America,Af,Tropical rainforest,0,0,0,TRUE,26.4,10.3,7.21,13.6,4680,46,56.04217836,0,1417.121053,186.5957018,0.2895,696865.5,tropical,7.661,13.724
135,Tropenstation La Gamba Ridge,Hofhansl_2011_tsaa,999,2005,18433,Tropenstation La Gamba,Ridge,woody,2TEB,ANPP_litterfall,2005,2005,5.1136,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Costa Rica,8.7,-83.2,NA,28,5750,NAC,North America,Af,Tropical rainforest,0,0,0,TRUE,26.4,10.3,7.21,13.6,4680,46,56.04217836,0,1417.121053,186.5957018,0.2895,696865.5,tropical,5.2734,10.387
136,Tura natural regeneration after fire.Larix gmelinii forest,Luyssaert_2007_cbob,105,NA,15309,Tura,natural regeneration after fire.Larix gmelinii forest,woody,2TDN,ANPP_foliage,2000,2004,0.27,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Russia,64.2,100.45,250,-8.9,360,760,Asia,Dfc,Boreal mountain system,0,0,0,TRUE,-9.1,12.9,185.17,65.2,382,52,75.68245614,266.7108772,408.5192982,167.155,0.03775,335744.1,boreal,0.15,0.42
137,"Tura, right bank of Kochechum River Larix gmelinii dominated mixed-age forest",Kajimoto_1999_aabb,190,1995.413699,15336,"Tura, right bank of Kochechum River",Larix gmelinii dominated mixed-age forest,woody,2TDN,ANPP_foliage,NA,NA,0.4747,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Russia,64.316667,100.216667,200,-9.5,322,760,Asia,Dfc,Boreal mountain system,0,1,0,TRUE,-9,12.8,185.57,65.5,380,52,75.68245614,266.7108772,408.5192982,167.155,0.038,335047.7,boreal,0.1504,0.6251
138,"Walker Branch unmanaged, agricultural abandonment in 1940",Hanson_2003_etnp,53,1993,16004,Walker Branch,"unmanaged, agricultural abandonment in 1940",woody,2TDB,ANPP_foliage,NA,NA,2.33,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,35.958333,-84.2875,265,14.31,1475.43,578,North America,Cfa,Temperate mountain system,0,0,0,TRUE,13.7,12.9,79.06,34.3,1369,16,61.98442982,84.34324561,1031.878947,120.117193,0.126083333,542409.2,temperate,1.68,4.01
139,"Walker Branch unmanaged, agricultural abandonment in 1940",Hanson_2003_etnp,54,1994,16005,Walker Branch,"unmanaged, agricultural abandonment in 1940",woody,2TDB,ANPP_foliage,NA,NA,2.36,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,35.958333,-84.2875,265,14.31,1475.43,578,North America,Cfa,Temperate mountain system,0,0,0,TRUE,13.7,12.9,79.06,34.3,1369,16,61.98442982,84.34324561,1031.878947,120.117193,0.126083333,542409.2,temperate,2.66,5.02
140,"Walker Branch unmanaged, agricultural abandonment in 1940",Hanson_2003_etnp,55,1995,16006,Walker Branch,"unmanaged, agricultural abandonment in 1940",woody,2TDB,ANPP_foliage,NA,NA,2.38,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,35.958333,-84.2875,265,14.31,1475.43,578,North America,Cfa,Temperate mountain system,0,0,0,TRUE,13.7,12.9,79.06,34.3,1369,16,61.98442982,84.34324561,1031.878947,120.117193,0.126083333,542409.2,temperate,1.91,4.29
141,"Walker Branch unmanaged, agricultural abandonment in 1940",Hanson_2003_etnp,56,1996,16007,Walker Branch,"unmanaged, agricultural abandonment in 1940",woody,2TDB,ANPP_foliage,NA,NA,2.45,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,35.958333,-84.2875,265,14.31,1475.43,578,North America,Cfa,Temperate mountain system,0,0,0,TRUE,13.7,12.9,79.06,34.3,1369,16,61.98442982,84.34324561,1031.878947,120.117193,0.126083333,542409.2,temperate,2.93,5.38
142,"Walker Branch unmanaged, agricultural abandonment in 1940",Hanson_2003_etnp,57,1997,16008,Walker Branch,"unmanaged, agricultural abandonment in 1940",woody,2TDB,ANPP_foliage,NA,NA,2.43,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,35.958333,-84.2875,265,14.31,1475.43,578,North America,Cfa,Temperate mountain system,0,0,0,TRUE,13.7,12.9,79.06,34.3,1369,16,61.98442982,84.34324561,1031.878947,120.117193,0.126083333,542409.2,temperate,2.15,4.58
143,"Walker Branch unmanaged, agricultural abandonment in 1940",Hanson_2003_etnp,58,1998,16009,Walker Branch,"unmanaged, agricultural abandonment in 1940",woody,2TDB,ANPP_foliage,NA,NA,2.29,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,35.958333,-84.2875,265,14.31,1475.43,578,North America,Cfa,Temperate mountain system,0,0,0,TRUE,13.7,12.9,79.06,34.3,1369,16,61.98442982,84.34324561,1031.878947,120.117193,0.126083333,542409.2,temperate,2.11,4.4
144,"Walker Branch unmanaged, agricultural abandonment in 1940",Hanson_2003_etnp,59,1999,16010,Walker Branch,"unmanaged, agricultural abandonment in 1940",woody,2TDB,ANPP_foliage,NA,NA,2.33,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,35.958333,-84.2875,265,14.31,1475.43,578,North America,Cfa,Temperate mountain system,0,0,0,TRUE,13.7,12.9,79.06,34.3,1369,16,61.98442982,84.34324561,1031.878947,120.117193,0.126083333,542409.2,temperate,2.4,4.73
145,"Walker Branch unmanaged, agricultural abandonment in 1940",Hanson_2003_etnp,60,2000,16011,Walker Branch,"unmanaged, agricultural abandonment in 1940",woody,2TDB,ANPP_foliage,NA,NA,2.57,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,35.958333,-84.2875,265,14.31,1475.43,578,North America,Cfa,Temperate mountain system,0,0,0,TRUE,13.7,12.9,79.06,34.3,1369,16,61.98442982,84.34324561,1031.878947,120.117193,0.126083333,542409.2,temperate,2.1,4.67
146,Wayqecha unmanaged upland tropical forest,Girardin_2010_nppa,999,2005,18340,Wayqecha,unmanaged upland tropical forest,woody,2TEB,ANPP_litterfall,2003,2007,1.8048,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Peru,-13.19,-71.59,3025,12.5,1706,673,South America,Cfb,Tropical mountain system,0,0,0,TRUE,13.4,15.2,11.44,20.2,335,67,59.68450292,87.11798246,1106.259649,110.9999123,0.105416666,513259.5,tropical,1.128,2.914
147,Wayqecha unmanaged upland tropical forest,Girardin_2010_nppa,999,NA,16280,Wayqecha,unmanaged upland tropical forest,woody,2TEB,ANPP_foliage,2007,2008,1.92,NA,Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Peru,-13.19,-71.59,3025,12.5,1706,673,South America,Cfb,Tropical mountain system,0,0,0,TRUE,13.4,15.2,11.44,20.2,335,67,59.68450292,87.11798246,1106.259649,110.9999123,0.105416666,513259.5,tropical,1.2,3.12
148,Western Ghats 1 tropical wet evergreen forest,Swamy_2010_fadm,999,1994,18481,Western Ghats 1,tropical wet evergreen forest,woody,2TEB,ANPP_litterfall,1993,1995,1.927,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",India,12.42,75.42,1000,26.6,2800,788,Asia,Am,Tropical rainforest,0,0,1,TRUE,22.7,7.7,13.03,13.2,6069,133,46.7629386,0,1523.894737,104.5140351,0.221749999,728027.5,tropical,2.867,4.794
149,Western Ghats 2 tropical wet evergreen forest,Swamy_2010_fadm,999,1994,18482,Western Ghats 2,tropical wet evergreen forest,woody,2TEB,ANPP_litterfall,1993,1995,2.679,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",India,12.42,75.42,1500,24.6,3200,788,Asia,Am,Tropical rainforest,0,0,1,TRUE,22.7,7.7,13.03,13.2,6069,133,46.7629386,0,1523.894737,104.5140351,0.221749999,728027.5,tropical,2.914,5.593
150,Western Ghats 3 tropical wet evergreen forest,Swamy_2010_fadm,999,1994,18483,Western Ghats 3,tropical wet evergreen forest,woody,2TEB,ANPP_litterfall,1993,1995,2.068,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",India,12.42,75.42,1100,26.6,2800,788,Asia,Am,Tropical rainforest,0,0,1,TRUE,22.7,7.7,13.03,13.2,6069,133,46.7629386,0,1523.894737,104.5140351,0.221749999,728027.5,tropical,1.927,3.995
151,Western Ghats 4 tropical wet evergreen forest,Swamy_2010_fadm,999,1994,18484,Western Ghats 4,tropical wet evergreen forest,woody,2TEB,ANPP_litterfall,1993,1995,2.397,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",India,12.42,75.42,1300,25.6,3000,788,Asia,Am,Tropical rainforest,0,0,1,TRUE,22.7,7.7,13.03,13.2,6069,133,46.7629386,0,1523.894737,104.5140351,0.221749999,728027.5,tropical,3.055,5.452
152,Willow Creek AE 1 NI,Martin_2005_asri,73,NA,16503,Willow Creek AE 1,NI,woody,2TDB,ANPP_foliage,1998,2001,2.95,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,45.48,-90.08,480,NA,NA,793,North America,Dfb,Temperate continental forest,0,0,0,TRUE,4.2,12.3,111.2,44.8,813,45,64.90511696,188.744386,752.4307018,123.0825439,0.079250001,453019.8,temperate,5.37,8.32
