"","site_plot","citation.ID","stand.age","measurement.ID","sites.sitename","plot.name","dominant.life.form","dominant.veg","variable.name.x","date.x","start.date.x","end.date.x","ANPP_canopy","min.dbh","required.citations","ForC.investigator","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.type","regrowth.year","distmrs.type","distmrs.year","managed","disturbed","history.no.info","optional","AnnualMeanTemp","MeanDiurnalRange","TempSeasonality","TempRangeAnnual","ANPP_woody_stem","PreSeasonality","CloudCover","AnnualFrostDays","AnnualPET","AnnualWetDays","VapourPressure","SolarRadiation","Aridity","PotentialEvapotranspiration","VapourPressureDeficit","biomes","variable.name.y","date.y","start.date.y","end.date.y","mean.y"
"82","Hawaii Site 5 Meterosideros forest.3400-y","Clark_2001_nppi",3400,6205,"Hawaii Site 5","Meterosideros forest.3400-y","woody","2TEB","ANPP_litterfall","NI","NI","NI",0.8225,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",19.75,-155.25,700,19.3,5800,"248","Oceania","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,16.6,8.8,11.64,12.5,2487,37,68.43070175,0,1099.850877,248.6133333,0.158500001,630175.1,14330,1377,0.47575,"tropical","ANPP_woody_stem","NI","NI","NI",0.282
"83","Hawaii Site 6 Meterosideros forest.3400-y","Clark_2001_nppi",3400,6209,"Hawaii Site 6","Meterosideros forest.3400-y","woody","2TEB","ANPP_litterfall","NI","NI","NI",1.0763,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",19.75,-155.25,1660,13,2600,"248","Oceania","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,16.6,8.8,11.64,12.5,2487,37,68.43070175,0,1099.850877,248.6133333,0.158500001,630175.1,14330,1377,0.47575,"tropical","ANPP_woody_stem","NI","NI","NI",0.47
"84","Heishiding evergreen broadleaf forest","Zhanghe_1992_soba",999,18282,"Heishiding","evergreen broadleaf forest","woody","2TREE","ANPP_litterfall","NRA","NRA","NRA",2.0116,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","China",23.45,111.88,380,19.6,1744,"313","Asia","Cfa","Subtropical humid forest","NAC","NI","NI","NI","NI","NI",0,0,1,TRUE,18.9,8.2,56.36,24.1,1596,64,71.93823099,1.991403509,997.9798246,169.3646491,0.18375,514670.3,13911,1262,0.600805556,"subtropical","ANPP_woody_stem","NRA","NRA","NRA",3.8446
"85","Hestehaven NI","DeAngelis_1981_pofe",85,20266,"Hestehaven","NI","woody","2TDB","ANPP_litterfall","1970",NA,NA,1.7954,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Denmark",56.3,10.48,11,7.1,660,"317","Europe","Cfb","Temperate oceanic forest","NAC","1885","Initiation of post-disturbance cohort (planted or natural)","1885","NAC","NAC",0,0,0,TRUE,7.6,6.9,59.02,24,593,21,68.13369883,121.0680702,534.8368421,169.0034211,0.09375,353034.9,9598,694,0.250263889,"temperate","ANPP_woody_stem","1970",NA,NA,2.4299
"86","Jacaranda plots 1-5 terra firma JAC-01","Malhi_2004_tacw",999,18270,"Jacaranda plots 1-5","terra firma JAC-01","woody","2TEB","ANPP_litterfall","1999","1996","2002",3.102,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.38,-60.1,73,27.1,2272,"68","South America","Af","Tropical rainforest","5","NAC","NAC","NAC","No disturbance","1904",0,0,0,TRUE,27,8.6,4.38,10.3,2491,32,81.61425439,0,1151.794737,243.7338596,0.286499997,540277.2,18027,1342,0.714125,"tropical","ANPP_woody_stem","1999","1996","2002",2.0774
"87","Jacaranda plots 6-10 terra firma JAC-02","Malhi_2004_tacw",999,18271,"Jacaranda plots 6-10","terra firma JAC-02","woody","2TEB","ANPP_litterfall","1999","1996","2002",3.102,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.38,-60.1,73,27.1,2272,"68","South America","Af","Tropical rainforest","5","NAC","NAC","NAC","No disturbance","1904",0,0,0,TRUE,27,8.6,4.38,10.3,2491,32,81.61425439,0,1151.794737,243.7338596,0.286499997,540277.2,18027,1342,0.714125,"tropical","ANPP_woody_stem","1999","1996","2002",1.8988
"88","Jadraas Ih-V","Linder_1998_nbfj",120,20277,"Jadraas","Ih-V","woody","2TEN","ANPP_litterfall","NI","NI","NI",0.6345,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Sweden",60.82,16.5,NA,3,731,"342","Europe","Dfc","Boreal coniferous forest","NAC","1850","NAC","NAC","NAC","NAC",0,0,0,TRUE,4.1,8.3,80.45,31.4,639,29,64.17755848,176.9968421,467.1429825,154.9218421,0.070166666,341560.4,9789,678,0.274444444,"boreal","ANPP_woody_stem","NI","NI","NI",0.4982
"89","Jari 1 terra firma JRI-01","Chave_2008_aepa",999,18368,"Jari 1","terra firma JRI-01","woody","2TEB","ANPP_litterfall","1995","1985","2005",5.076,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1,-52.05,82,26.7,2403,"343","South America","Am","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1904",0,0,0,TRUE,26.8,9,5.66,10.9,2464,50,77.60606725,0,1127.901754,246.8463158,0.286916661,579619.4,17307,1444,0.586875,"tropical","ANPP_woody_stem","1990","1985","1996",2.3312
"90","Jenaro Tahuampa Seasonally flooded (4 months) JEN-09","Nebel_2001_safc",999,18452,"Jenaro Tahuampa","Seasonally flooded (4 months) JEN-09","woody","2TEB","ANPP_litterfall","1993","1993","1993",3.2571,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-4.92,-73.73,116,26.69,2715,"347","South America","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1904",0,0,0,TRUE,26.9,10.2,3.87,12.2,2614,20,81.18998538,0,1393.290351,238.0359649,0.28816667,483587.2,21386,1189,0.749,"tropical","ANPP_woody_stem","1993","1993","1993",6.32855
"91","Jezeri PO","Schulze_2000_tcan",79,7235,"Jezeri","PO","woody","2TDB","ANPP_foliage","1995",NA,NA,1.77,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Czech Republic",50.55,13.46,750,5.9,935,"348","Europe","Cfb","Temperate mountain system","NAC","1916","Planted","NAC","NAC","NAC",0,0,0,TRUE,5.1,6.8,65.95,24.8,787,23,74.1869883,131.0028947,667.0745614,178.0578947,0.079583333,372622,12382,724,0.254458333,"temperate","ANPP_woody_stem","1995",NA,NA,2.02
"92","Kagneri Mature Rain forest","Rai_1986_esof",999,7466,"Kagneri","Mature Rain forest","woody","2TEB","ANPP_litterfall","NI","NI","NI",1.8706,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","India",12.82,75.6,500,28.6,6100,"369","Asia","Aw","Tropical rainforest","1","NAC","NAC","NAC","NAC","NAC",0,0,1,TRUE,25.1,8.7,14.2,14.8,3612,126,46.48399123,0,1431.782456,92.85315789,0.235999998,735074.7,20685,1811,0.864833333,"tropical","ANPP_woody_stem","NI","NI","NI",4.324
"93","Kalimantan Barito Ulu","Mirmanto_1999_eona",999,18586,"Kalimantan","Barito Ulu","woody","2TREE","ANPP_litterfall","1993","1993","1993",3.337,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Indonesia",-0.1,113.93,NA,27.5,3600,"NAC","Asia","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,24.7,8.1,2.25,8.7,3673,21,70.08033626,0,1140.419298,251.8537719,0.262750002,583863.8,26529,1465,0.793055556,"tropical","ANPP_woody_stem","1993","1993","1993",3.196
"94","Kenia KEN01 wet","Araujo-Murakami_2014_tpaa",999,7551,"Kenia KEN01","wet","woody","2TEB","ANPP_foliage",NA,"2009","2011.413699",2.91,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Bolivia",-16.02,-62.73,384,23.4,1310,"376","South America","Aw","Tropical moist forest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,TRUE,24.2,12.3,17.85,17.8,1071,59,59.63033626,0,1490.292982,98.58254386,0.230333336,549737.5,7238,1610,0.951458333,"tropical","ANPP_woody_stem",NA,"2008","2010",4.12
"95","Kenia KEN02 dry","Araujo-Murakami_2014_tpaa",999,7562,"Kenia KEN02","dry","woody","2TEB","ANPP_foliage",NA,"2009","2011.413699",2.22,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Bolivia",-16.02,-62.73,384,23.4,1310,"376","South America","Aw","Tropical moist forest","1","NAC","NAC","NAC","NAC","NAC",0,1,0,TRUE,24.2,12.3,17.85,17.8,1071,59,59.63033626,0,1490.292982,98.58254386,0.230333336,549737.5,7238,1610,0.951458333,"tropical","ANPP_woody_stem",NA,"2008","2010",2.56
"96","Kohala unmanaged Mature Metrosideros polymorpha","Herbert_1999_fpae",999,18355,"Kohala","unmanaged Mature Metrosideros polymorpha","woody","2TEB","ANPP_litterfall","1993","1993","1993",2.914,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",20.14,-155.7,1122,16,2500,"390","Oceania","Af","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,17.6,8.6,11.61,12.2,1078,38,63.78559942,0,0,198.3485088,0.163416666,634651.5,14537,1472,0.555944444,"tropical","ANPP_woody_stem","1993","1993","1993",1.269
"97","Kokee unmanaged Hurricane disturbed Metrosideros polymorpha.4100000-y","Herbert_1999_fpae",999,18356,"Kokee","unmanaged Hurricane disturbed Metrosideros polymorpha.4100000-y","woody","2TEB","ANPP_litterfall","1993","1993","1993",1.0528,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",22.05,-159.5,1134,16,2500,"393","Oceania","Af","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,1,0,TRUE,17.7,8.9,16.47,14,2436,37,63.0119883,0,0,204.9134211,0.169166667,627021.9,34353,1307,0.482416667,"tropical","ANPP_woody_stem","1993","1993","1993",1.504
"98","La Planada CTFS-ForestGEO plot 25-ha forest dynamics plot","Chave_2008_aepa",999,18288,"La Planada CTFS-ForestGEO plot","25-ha forest dynamics plot","woody","2TEB","ANPP_litterfall","1995","1985","2005",3.6801,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Colombia",1.1558,-77.9935,1818,19,4087,"NAC","South America","Cfb","Tropical mountain system","25","NAC","NAC","NAC","No disturbance","1986",0,0,0,TRUE,17.8,10.1,2.45,11.4,1716,41,79.54802632,0.025175439,992.1324561,174.0385965,0.166,535243.9,13834,1207,0.447958333,"tropical","ANPP_woody_stem","1995","1985","2005",2.2325
"99","La Selva Biological Station primary forest","Clark_2001_nppi",999,18289,"La Selva Biological Station","primary forest","woody","2TEB","ANPP_litterfall","NI","NI","NI",3.196,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Costa Rica",10.43,-83.98,85,24.75,4250,"1","North America","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,TRUE,26.1,8.8,7.31,11.4,3981,30,58.26176901,0,1314.10614,179.1069298,0.286000001,705251.9,22068,1687,0.622222222,"tropical","ANPP_woody_stem","NI","NI","NI",2.5145
"100","Laupahoehoe unmanaged Mature Metrosideros polymorpha.20000-y","Herbert_1999_fpae",999,18357,"Laupahoehoe","unmanaged Mature Metrosideros polymorpha.20000-y","woody","2TEB","ANPP_litterfall","1993","1993","1993",2.444,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",19.95,-155.3,1170,16,2500,"248","Oceania","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,16.6,8.7,12,12.5,1936,42,68.43070175,0,1099.850877,248.6133333,0.156083334,648288.3,14896,1416,0.406819444,"tropical","ANPP_woody_stem","1993","1993","1993",1.9834
"101","Les Na Vorskle_7 Site 7","DeAngelis_1981_pofe",80,17804,"Les Na Vorskle_7","Site 7","woody","2TREE","ANPP_litterfall","1970","1966","1971",5.546,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Russia",50.6,36,195,6,537,"NAC","Europe","Dfb","Temperate continental forest","NAC","1890","Initiation of post-disturbance cohort (planted or natural)","1890","NAC","NAC",0,0,0,TRUE,6.8,8.3,99.05,35.5,571,23,66.03676901,150.6446491,752.9692982,148.3773684,0.080749999,400587.8,6639,935,0.446055556,"temperate","ANPP_woody_stem","1970","1966","1971",1.1844
"102","Les Na Vorskle_7 Site 7","DeAngelis_1981_pofe",80,17806,"Les Na Vorskle_7","Site 7","woody","2TREE","ANPP_foliage","1970","1966","1971",1.692,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Russia",50.6,36,195,6,537,"NAC","Europe","Dfb","Temperate continental forest","NAC","1890","Initiation of post-disturbance cohort (planted or natural)","1890","NAC","NAC",0,0,0,TRUE,6.8,8.3,99.05,35.5,571,23,66.03676901,150.6446491,752.9692982,148.3773684,0.080749999,400587.8,6639,935,0.446055556,"temperate","ANPP_woody_stem","1970","1966","1971",1.1844
"103","Les Na Vorskle_8 Site 8","DeAngelis_1981_pofe",250,17807,"Les Na Vorskle_8","Site 8","woody","2TREE","ANPP_foliage","1970","1966","1971",1.786,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Russia",50.6,36,200,6,537,"NAC","Europe","Dfb","Temperate continental forest","NAC","1720","Initiation of post-disturbance cohort (planted or natural)","1720","NAC","NAC",0,0,0,TRUE,6.8,8.3,99.05,35.5,571,23,66.03676901,150.6446491,752.9692982,148.3773684,0.080749999,400587.8,6639,935,0.446055556,"temperate","ANPP_woody_stem","1970","1966","1971",1.1139
"104","Les Na Vorskle_8 Site 8","DeAngelis_1981_pofe",250,17805,"Les Na Vorskle_8","Site 8","woody","2TREE","ANPP_litterfall","1970","1966","1971",6.204,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Russia",50.6,36,200,6,537,"NAC","Europe","Dfb","Temperate continental forest","NAC","1720","Initiation of post-disturbance cohort (planted or natural)","1720","NAC","NAC",0,0,0,TRUE,6.8,8.3,99.05,35.5,571,23,66.03676901,150.6446491,752.9692982,148.3773684,0.080749999,400587.8,6639,935,0.446055556,"temperate","ANPP_woody_stem","1970","1966","1971",1.1139
"105","Lookout Mountains 5 NI","Luyssaert_2007_cbob",111,8473,"Lookout Mountains 5","NI","woody","2TEN","ANPP_foliage","2001",NA,NA,2.79,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.8344,-122.0899,989,NA,NA,"439","North America","Csb","Temperate mountain system","NAC","1890","Initiation of post-disturbance cohort (planted or natural)","1890","NAC","NAC",0,0,0,TRUE,6.2,9.6,53.38,24.9,2637,64,70.00789474,113.9348246,795.5096491,141.1185965,0.068416666,461871.5,25266,987,0.422708333,"temperate","ANPP_woody_stem","2001",NA,NA,1.56
"106","Lookout Mountains 6 NI","Luyssaert_2007_cbob",85,8485,"Lookout Mountains 6","NI","woody","2TEN","ANPP_foliage","2001",NA,NA,2.44,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.8464,-122.1093,1200,NA,NA,"439","North America","Csb","Temperate mountain system","NAC","1916","Initiation of post-disturbance cohort (planted or natural)","1916","NAC","NAC",0,0,0,TRUE,5.3,9.2,52.59,24.1,2744,63,70.00789474,113.9348246,795.5096491,141.1185965,0.06425,460569.8,26514,985,0.422708333,"temperate","ANPP_woody_stem","2001",NA,NA,3.94
"107","Luquillo 3 Prestoea montana, tropical palm forest","Frangi_1985_edoa",999,18627,"Luquillo 3","Prestoea montana, tropical palm forest","woody","2TEB","ANPP_litterfall","1980","1980","1981",4.136,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",18.42,-65.92,NA,19.7,1885,"81","North America","Am","Tropical moist forest","NAC","NAC","NAC","NAC","NAC","NAC",0,0,1,TRUE,25.7,8.5,12.42,11.9,1771,27,59.9997076,0,1199.021053,214.942193,0.259500001,706843.5,7860,1938,0.960861111,"tropical","ANPP_woody_stem","1980","1980","1981",1.551
"108","Manaus (Malhi 2009) lowland tropical forest","Malhi_2011_taoe",999,8881,"Manaus (Malhi 2009)","lowland tropical forest","woody","2TEB","ANPP_litterfall","NI","NI","NI",3.57,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.6,-60.2,90,27.6,2349,"68","South America","Af","Tropical rainforest","NAC","NAC","NI","NAC","NI","NAC",0,0,1,TRUE,27.2,8.5,4.53,10.3,2286,35,82.24795322,0,1156.250877,245.6460526,0.288166668,538297.7,17608,1336,0.703375,"tropical","ANPP_woody_stem","NI","NI","NI",2.58
"109","Maraca Island,Forest without Peltogyne partially flooded tropical forest.MAI3","Villela_1999_lmca",999,18276,"Maraca Island,Forest without Peltogyne","partially flooded tropical forest.MAI3","woody","2TEB","ANPP_litterfall","1991","1991","1992",4.0326,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",3.37,-61.4,NA,NA,1572,"515","South America","Am","Tropical moist forest","NAC","NAC","NAC","NAC","NAC","NAC",0,0,1,TRUE,27,10.5,5.01,11.9,1616,77,55.95964912,0,1482.142982,188.1714035,0.270333336,615927.4,11840,1599,1.064569444,"tropical","ANPP_woody_stem","1991","1991","1992",1.504
"110","Maraca Island,Peltogyne-rich forest partially flooded tropical forest.MAI1","Villela_1999_lmca",999,18278,"Maraca Island,Peltogyne-rich forest","partially flooded tropical forest.MAI1","woody","2TEB","ANPP_litterfall","1991","1991","1992",3.7271,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",3.37,-61.4,NA,NA,1572,"515","South America","Am","Tropical moist forest","NAC","NAC","NAC","NAC","NAC","NAC",0,0,1,TRUE,27,10.5,5.01,11.9,1616,77,55.95964912,0,1482.142982,188.1714035,0.270333336,615927.4,11840,1599,1.064569444,"tropical","ANPP_woody_stem","1991","1991","1992",1.222
"111","Maraca Island,Peltogyne poor forest partially flooded tropical forest.MAI2","Villela_1999_lmca",999,18277,"Maraca Island,Peltogyne poor forest","partially flooded tropical forest.MAI2","woody","2TEB","ANPP_litterfall","1991","1991","1992",4.2629,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",3.37,-61.4,NA,NA,1572,"515","South America","Am","Tropical moist forest","NAC","NAC","NAC","NAC","NAC","NAC",0,0,1,TRUE,27,10.5,5.01,11.9,1616,77,55.95964912,0,1482.142982,188.1714035,0.270333336,615927.4,11840,1599,1.064569444,"tropical","ANPP_woody_stem","1991","1991","1992",1.504
"112","Marihan Site 1","Singh_1991_ssdm",999,18478,"Marihan","Site 1","woody","2TREE","ANPP_litterfall","1988","1987","1989",1.363,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","India",25,82.67,NA,27,821,"NAC","Asia","Cwa","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,25.6,12.5,58.96,32.2,987,138,38.06725146,0.798070175,1570.786842,51.84385965,0.203333336,702044.1,5030,2029,1.755375,"tropical","ANPP_woody_stem","1988","1987","1989",2.256
"113","Marihan Site 2","Singh_1991_ssdm",999,18479,"Marihan","Site 2","woody","2TREE","ANPP_litterfall","1988","1987","1989",0.752,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","India",25,82.67,NA,27,821,"NAC","Asia","Cwa","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,25.6,12.5,58.96,32.2,987,138,38.06725146,0.798070175,1570.786842,51.84385965,0.203333336,702044.1,5030,2029,1.755375,"tropical","ANPP_woody_stem","1988","1987","1989",0.611
"114","Marihan Site 3","Singh_1991_ssdm",999,18480,"Marihan","Site 3","woody","2TREE","ANPP_litterfall","1988","1987","1989",0.705,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","India",25,82.67,NA,27,821,"NAC","Asia","Cwa","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,25.6,12.5,58.96,32.2,987,138,38.06725146,0.798070175,1570.786842,51.84385965,0.203333336,702044.1,5030,2029,1.755375,"tropical","ANPP_woody_stem","1988","1987","1989",0.94
"115","Maui 1 unmanaged upland tropical forest","Schuur_2001_ccas",999,18342,"Maui 1","unmanaged upland tropical forest","woody","2TEB","ANPP_litterfall","1996","1996","1997",4.089,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",20.805833,-156.255278,1300,16,2200,"518","Oceania","Af","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,15.7,8.7,12.56,12.5,1713,47,65.67185673,0,1304.776316,220.2853509,0.144999999,662750.4,11305,1438,0.501513889,"tropical","ANPP_woody_stem","1996","1996","1997",0.3525
"116","Maui 2 unmanaged upland tropical forest","Schuur_2001_ccas",999,18343,"Maui 2","unmanaged upland tropical forest","woody","2TEB","ANPP_litterfall","1996","1996","1997",4.794,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",20.807361,-156.252917,1300,16,2450,"518","Oceania","Af","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,15.7,8.7,12.56,12.5,1713,47,65.67185673,0,1304.776316,220.2853509,0.144999999,662750.4,11305,1438,0.501513889,"tropical","ANPP_woody_stem","1996","1996","1997",0.1175
"117","Maui 3 unmanaged upland tropical forest","Schuur_2001_ccas",999,18344,"Maui 3","unmanaged upland tropical forest","woody","2TEB","ANPP_litterfall","1996","1996","1997",3.854,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",20.808333,-156.25,1300,16,2750,"518","Oceania","Af","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,15.7,8.7,12.64,12.5,1733,47,65.67185673,0,1304.776316,220.2853509,0.142499999,658251.8,12314,1411,0.476555556,"tropical","ANPP_woody_stem","1996","1996","1997",0.517
"118","Maui 4 unmanaged upland tropical forest","Schuur_2001_ccas",999,18345,"Maui 4","unmanaged upland tropical forest","woody","2TEB","ANPP_litterfall","1996","1996","1997",4.23,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",20.813194,-156.247083,1300,16,3350,"518","Oceania","Af","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,16.1,8.6,12.69,12.4,1757,47,65.67185673,0,1304.776316,220.2853509,0.148833333,656124,12214,1453,0.476555556,"tropical","ANPP_woody_stem","1996","1996","1997",0.094
"119","Maui 5 unmanaged upland tropical forest","Schuur_2001_ccas",999,18346,"Maui 5","unmanaged upland tropical forest","woody","2TEB","ANPP_litterfall","1996","1996","1997",2.632,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",20.813194,-156.240278,1300,16,4050,"518","Oceania","Af","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,16.5,8.6,12.98,12.4,1809,47,65.67185673,0,1304.776316,220.2853509,0.14875,648805.1,12970,1439,0.476555556,"tropical","ANPP_woody_stem","1996","1996","1997",0.705
"120","Maui 6 unmanaged upland tropical forest","Schuur_2001_ccas",999,18347,"Maui 6","unmanaged upland tropical forest","woody","2TEB","ANPP_litterfall","1996","1996","1997",1.88,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",20.815139,-156.229722,1300,16,5050,"518","Oceania","Af","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,16.3,8.6,13.05,12.4,1826,46,65.67185673,0,1304.776316,220.2853509,0.149499999,641782.9,14780,1432,0.476555556,"tropical","ANPP_woody_stem","1996","1996","1997",0.0235
"121","Mauna Loa Old flow 2 Old flow 2","Raich_1997_ppae",999,18351,"Mauna Loa Old flow 2","Old flow 2","woody","2TEB","ANPP_litterfall","1992","1991","1993",1.0763,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",19.45,-155.15,NA,13,4300,"NAC","Oceania","Af","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,18.4,8.8,11.09,12.2,3382,29,67.79868421,0,1281.514912,254.4439474,0.173499998,626311.4,16623,1459,0.503708333,"tropical","ANPP_woody_stem","1992","1991","1993",0.423
"122","Mauna Loa Young flow 1 Young flow 1","Raich_1997_ppae",999,18348,"Mauna Loa Young flow 1","Young flow 1","woody","2TEB","ANPP_litterfall","1992","1991","1993",0.5076,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",19.45,-155.15,NA,20.9,4300,"NAC","Oceania","Af","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,18.4,8.8,11.09,12.2,3382,29,67.79868421,0,1281.514912,254.4439474,0.173499998,626311.4,16623,1459,0.503708333,"tropical","ANPP_woody_stem","1992","1991","1993",0.4418
"123","Mauna Loa Young flow 2 Young flow 2","Raich_1997_ppae",999,18349,"Mauna Loa Young flow 2","Young flow 2","woody","2TEB","ANPP_litterfall","1992","1991","1993",0.3807,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",19.45,-155.15,NA,20,4300,"NAC","Oceania","Af","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,18.4,8.8,11.09,12.2,3382,29,67.79868421,0,1281.514912,254.4439474,0.173499998,626311.4,16623,1459,0.503708333,"tropical","ANPP_woody_stem","1992","1991","1993",0.0846
